SPAPYUG7.04C	SPBC28F2.12
SPBC16G5.01	SPBC119.01
SPBC16G5.01	SPCC1682.10
SPAC1420.03	SPAC31G5.13
SPAC1420.03	SPCC1682.10
SPAC1420.03	SPAC607.05
SPAC3G9.10C	SPCC757.08
SPAC4A8.12C	SPBC776.02C
SPBC215.15	SPBC8D2.20C
SPAC17G6.09	SPBC36B7.03
SPBC409.21	SPBC36B7.03
SPAC16C9.04C	SPAC20G8.06
SPBC16D10.07C	SPBC25D12.02C
SPAC16E8.01	SPAC4F10.15C
SPAC16E8.01	SPAPJ696.02
SPBC365.05C	SPCC126.14
SPAC10F6.09C	SPBC29A10.04
SPCC74.03C	SPCC1919.03C
SPCC74.03C	SPAC227.15
SPCC74.03C	SPCC1919.03C
SPCC74.03C	SPAC1556.08C
SPAC1556.08C	SPCC74.03C
SPAC1556.08C	SPCC1919.03C
SPAC29A4.07	SPAC644.10
SPAC29A4.07	SPBC31F10.04C
SPCC306.09C	SPBC32H8.12C
SPAC1834.01	SPCC584.04
SPAC2G11.14	SPAC23G3.09
SPAC2G11.14	SPCC16C4.18C
SPCC1494.02C	SPAC1002.04C
SPBC21H7.02	SPBC25H2.11C
SPCC5E4.03C	SPCC16C4.18C
SPBC1652.02	SPBC1703.13C
SPAC29A4.02C	SPCC1450.04
SPBC106.10	SPAC8C9.03
SPBC106.10	SPBC106.10
SPAC328.03	SPAC19G12.15C
SPAC328.03	SPAC22F8.05
SPAC328.03	SPAC22F8.05
SPBC11G11.04	SPBC1718.05
SPAC3A12.05C	SPCC16C4.18C
SPBC32F12.04	SPBC365.15
SPBC32F12.04	SPBC428.20C
SPAC19A8.05C	SPBC1734.08
SPBC1734.08	SPAC19A8.05C
SPAC2G11.06	SPAC1142.07C
SPAC2G11.03C	SPAC823.05C
SPCC338.15	SPCC553.06
SPAC23H3.05C	SPBC354.03
SPBC18H10.10C	SPBC31F10.11C
SPBC18H10.10C	SPBC211.02C
SPBC216.01C	SPAC23C4.19
SPAC227.08C	SPAC22G7.10
SPBC3H7.15	SPBC3B9.21
SPBC1703.10	SPAC22H10.12C
SPAC6F6.15	SPAC22H10.12C
SPAC22H10.12C	SPAC9E9.07C
SPBC776.02C	SPAC227.15
SPBC776.02C	SPAC4A8.12C
SPBC776.02C	SPAC17A5.09C
SPAC17A5.09C	SPBC776.02C
SPAC1687.01	SPBC1289.07C
SPCC338.05C	SPAC11E3.04C
SPAC11E3.04C	SPCC338.05C
SPBC106.10	SPAC8C9.03
SPBC725.11C	SPAC10F6.11C
SPAC3A12.14	SPAC6G9.06C
SPAC3A12.14	SPBC146.13C
SPBC25B2.11	SPBC409.05
SPAC343.14C	SPCC11E10.07C
SPAC343.14C	SPAC21E11.06
SPBC21D10.12	SPBC725.09C
SPBC725.09C	SPBC21D10.12
SPAC821.06	SPAC4F10.11
SPBC16A3.01	SPAC4F10.11
SPAC9G1.11C	SPAC4F10.11
SPBC1289.03C	SPCC1840.01C
SPBC1289.03C	SPBC1773.07C
SPAC4C5.02C	SPAC22H10.12C
SPBC16A3.01	SPAC9G1.11C
SPAC9G1.11C	SPBC16A3.01
SPBC16A3.01	SPAC821.06
SPCC16C4.11	SPBC20F10.10
SPAC1783.06C	SPAC10F6.11C
SPBC839.17C	SPBC19F5.04
SPBC3H7.06C	SPBC1198.02
SPAC18B11.10	SPBC23E6.09
SPAC17G6.12	SPBC409.05
SPAC821.12	SPCC16C4.09
SPAC1420.03	SPAC23G3.11
SPAC57A10.05C	SPBC409.05
SPAC821.08C	SPCC1795.01C
SPBC30D10.06	SPBC19G7.10C
SPAC20G4.06C	SPAC9G1.05
SPAC20H4.10	SPBC2D10.12
SPAP27G11.07C	SPBC26H8.06
SPAP27G11.07C	SPBC16D10.03
SPAC11G7.02	SPBC28F2.12
SPAC57A10.05C	SPAC25G10.03
SPBC17A3.03C	SPBC17A3.03C
SPBC17A3.03C	SPBC17A3.03C
SPBC21D10.12	SPCC970.05
SPBC21D10.12	SPAC10F6.03C
SPAC18B11.07C	SPBC1734.06
SPBC409.05	SPBC1718.01
SPAP27G11.07C	SPBC2F12.14C
SPAP27G11.07C	SPAC1805.17
SPAP27G11.07C	SPBC2F12.14C
SPAC31A2.04C	SPAC4A8.13C
SPAC1834.06C	SPBC17F3.02
SPCC330.01C	SPCC330.02
SPAC1565.06C	SPAC806.07
SPAC821.12	SPCC970.04C
SPCC970.04C	SPAC821.12
SPBC23G7.05	SPAC4A8.16C
SPAC24B11.06C	SPAC23A1.06C
SPAC26H5.03	SPBC29A10.03C
SPCC622.08C	SPBC2D10.11C
SPBC106.10	SPAC8C9.03
SPCC1919.03C	SPCC74.03C
SPBC1703.06	SPBC409.05
SPBC409.05	SPBC36.12C
SPCC1919.03C	SPAC1556.08C
SPAC1556.01C	SPAC13C5.07
SPBC1734.04	SPAC4F10.10C
SPAC1D4.12	SPBC776.18C
SPBC776.18C	SPAC1D4.12
SPBC1685.01	SPBC119.08
SPBC1703.10	SPBC15C4.03
SPBC21C3.05	SPAC17C9.03
SPCC306.04C	SPBC13G1.08C
SPBC32F12.02	SPBC557.04
SPBC32F12.02	SPCC1919.05
SPBC660.14	SPBC582.03
SPCC962.03C	SPBC119.11C
SPBC887.09C	SPBC17F3.02
SPCC1840.10	SPCC1620.01C
SPCC1620.01C	SPCC1840.10
SPAC6F12.14	SPBC28E12.01C
SPBC887.10	SPAC1006.09
SPBC19G7.10C	SPAC19A8.12
SPAC1952.05	SPCC24B10.08C
SPCC417.06C	SPBC428.13C
SPCC4G3.05C	SPAPB1E7.06C
SPBC887.05C	SPCC1620.10
SPAC19A8.13	SPAC4F8.12C
SPBC1685.01	SPBC119.08
SPAC1687.01	SPBP23A10.07
SPAC1687.01	SPBC25H2.09
SPAC20G4.04C	SPAC1952.07
SPBC776.02C	SPAC6B12.13
SPCC1620.01C	SPBC3D6.08C
SPCC1620.01C	SPCC285.12
SPCC1620.01C	SPBC30D10.06
SPCC1620.01C	SPCC576.12C
SPCC1620.01C	SPBC19G7.10C
SPCC1620.01C	SPBC1861.04C
SPAC8E11.03C	SPAC56E4.04C
SPAC4F10.15C	SPBC21D10.12
SPAC4F10.15C	SPBC13E7.09
SPAC4F10.15C	SPBC12C2.05C
SPBC776.02C	SPAC29A4.09
SPAC23A1.06C	SPAC24B11.06C
SPCC576.15C	SPAC3C7.02C
SPAC29A4.08C	SPBC28F2.04C
SPBC6B1.09C	SPAC13C5.07
SPCC18.03	SPBC839.17C
SPBP16F5.07	SPBC947.02
SPBP4H10.04	SPAC3A12.14
SPCC576.10C	SPAC3A11.12C
SPCC576.10C	SPCC1682.16
SPCC576.10C	SPAC6C3.08
SPCC16C4.03	SPBC28F2.12
SPBC1703.06	SPAC17G6.12
SPBC21D10.12	SPAC11G7.02
SPBC336.08	SPCC188.04C
SPBP8B7.24C	SPBC3B9.06C
SPBP4H10.12	SPBP4H10.12
SPAC16A10.05C	SPBC32F12.08C
SPAC8C9.17C	SPAC16A10.05C
SPBC26H8.06	SPAC8C9.11
SPAC323.05C	SPAC31A2.02
SPCC24B10.13	SPCC4F11.02
SPAC8C9.17C	SPCC1223.15C
SPCC1223.15C	SPAC1805.07C
SPAC144.16	SPAC806.02C
SPAC29B12.04	SPAC222.08C
SPAC29B12.04	SPAC29B12.04
SPAC29B12.04	SPAC222.08C
SPBC32F12.08C	SPAC8C9.17C
SPBC25H2.06C	SPCC61.04C
SPBC4C3.03	SPBC4C3.03
SPAC4F10.02	SPAC4F10.02
SPAC6G9.07C	SPAC17G8.04C
SPAC18B11.09C	SPAC18B11.09C
SPAC1805.07C	SPBC27.02C
SPAC1556.04C	SPAC1556.04C
SPAC806.06C	SPAC806.06C
SPAC222.08C	SPAC29B12.04
SPBC17A3.03C	SPBC17A3.03C
SPCC306.02C	SPCC306.02C
SPBC25H2.06C	SPCC306.02C
SPAC222.08C	SPAC29B12.04
SPBC3B9.21	SPAC25G10.06
SPAC3G6.03C	SPAC3G6.03C
SPAP27G11.09C	SPAC1952.08C
SPAC10F6.03C	SPAC10F6.03C
SPAC4A8.14	SPAC4A8.14
SPBC557.04	SPBC557.04
SPAC12B10.04	SPBC3B9.21
SPCC1235.09	SPBC1734.10C
SPBC1734.14C	SPAC644.05C
SPBC1734.14C	SPBC582.03
SPCC736.07C	SPAC23C4.15
SPAC17G8.08C	SPAC22H10.04
SPCP31B10.05	SPBC365.06
SPAP27G11.15	SPAC688.06C
SPBC23G7.08C	SPAC20G8.05C
SPBC12C2.02C	SPCC777.08C
SPCC777.08C	SPAC637.13C
SPCC11E10.07C	SPCC777.08C
SPCC777.08C	SPAC10F6.11C
SPCC777.08C	SPAC637.13C
SPAC3C7.12	SPAC18G6.15
SPAC1565.04C	SPBC1D7.05
SPAC1565.04C	SPAC10F6.11C
SPAC4F8.07C	SPAC4F8.07C
SPBC16G5.02C	SPBC13G1.03C
SPAC23G3.10C	SPAC17G6.10
SPAC23G3.10C	SPBC3B9.19
SPAC11E3.03	SPBC2A9.09
SPCC4G3.11	SPAC11E3.03
SPCC4G3.11	SPBC31A8.01C
SPCC4G3.11	SPBC16E9.05
SPCC4G3.11	SPCC830.08C
SPAC1142.06	SPCC1672.12C
SPBC428.01C	SPBC14C8.01C
SPAPB1A10.02	SPBC19G7.10C
SPAPB1A10.02	SPBC13G1.03C
SPBC3B8.09	SPBC16G5.18
SPCC576.12C	SPBC18E5.11C
SPCC576.12C	SPBC21B10.03C
SPAC17H9.04C	SPAC17A2.09C
SPBP35G2.08C	SPBC19G7.10C
SPAC1782.10C	SPBC30D10.15
SPCC622.14	SPAC644.13C
SPCC622.14	SPCC61.04C
SPCC622.14	SPBC1711.09C
SPCC622.14	SPBC8D2.02C
SPCC622.14	SPAC6G9.11
SPCC622.14	SPAC1D4.08
SPCC622.14	SPAC31G5.16C
SPBP23A10.09	SPBP4H10.21C
SPBC1198.11C	SPBC36.09
SPCC550.13	SPAC10F6.11C
SPAC3C7.03C	SPAC644.14C
SPAC644.13C	SPBC2A9.05C
SPBC28F2.10C	SPBC1921.07C
SPBC28F2.10C	SPCC24B10.08C
SPBC28F2.10C	SPAC10F6.11C
SPAPB8E5.09	SPBC83.08
SPAC17D4.03C	SPBC16E9.14C
SPCC757.07C	SPBC13G1.03C
SPAC16E8.11C	SPBC36.08C
SPAC16E8.11C	SPAC20G4.04C
SPAC16E8.11C	SPAC10F6.11C
SPAC16E8.11C	SPCC11E10.03
SPAC6C3.08	SPCC576.10C
SPBC14F5.11C	SPAC227.06
SPBC14F5.11C	SPAC644.13C
SPBC14F5.11C	SPAC6F6.12
SPBC14F5.11C	SPAC19A8.03
SPAC4F10.13C	SPBC18H10.03
SPBC6B1.04	SPAC11E3.03
SPAC29E6.02	SPAC10F6.11C
SPAC513.07	SPAC1142.07C
SPBC18E5.11C	SPBC18E5.11C
SPBC18E5.11C	SPAC25G10.06
SPBC3B9.21	SPBC18E5.11C
SPAC1B1.02C	SPAC1B1.02C
SPBC31F10.04C	SPBC21.04
SPBC31F10.04C	SPAC1002.15C
SPBC31F10.04C	SPAC1783.07C
SPBC31F10.04C	SPAC29B12.06C
SPAC11E3.08C	SPBC651.10
SPBC20F10.10	SPCC320.07C
SPCC31H12.03C	SPAC17G6.14C
SPAC1805.08	SPAC3A11.13
SPCC364.07	SPBC428.14
SPCC364.07	SPAC17A2.04C
SPCC364.07	SPBC1539.07C
SPCC364.07	SPAC31G5.12C
SPCC364.07	SPAPB1A10.07C
SPCC364.07	SPAC23D3.06C
SPCC364.07	SPBC691.04
SPCC364.07	SPCC364.07
SPCC364.07	SPAC688.02C
SPAC644.14C	SPAC644.14C
SPAC4A8.14	SPAC4A8.14
SPAC4A8.14	SPAC4A8.14
SPAC18B11.06	SPAC664.08C
SPAC18B11.06	SPAC10F6.11C
SPBC32H8.01C	SPAC2G11.06
SPBC1734.10C	SPAC56F8.08
SPAC20G8.05C	SPBC18H10.08C
SPBC1539.05	SPBC36.08C
SPAC8E11.03C	SPAC8E11.03C
SPAC3A11.13	SPCC736.07C
SPAC1805.06C	SPAC1805.06C
SPBC3B9.11C	SPBC17D1.04
SPBC32F12.08C	SPAC18G6.15
SPAC589.08C	SPBC32F12.08C
SPAPYUG7.04C	SPAC144.18
SPAC12G12.05C	SPCC16C4.18C
SPAC1556.08C	SPCC1919.03C
SPAC14C4.06C	SPBPB7E8.02
SPCP31B10.03C	SPBC21.04
SPCP31B10.03C	SPBC2A9.05C
SPCP31B10.03C	SPBC1604.10
SPCP31B10.03C	SPAC10F6.11C
SPCP31B10.03C	SPBC14F5.08
SPCP31B10.03C	SPCC1322.13
SPCP31B10.03C	SPBC1105.06
SPCP31B10.03C	SPBC31F10.09C
SPAC17C9.02C	SPCC1322.13
SPAC227.06	SPBC2A9.05C
SPAC644.13C	SPAC227.06
SPBC21D10.05C	SPAC1751.01C
SPBC21D10.05C	SPBC354.06
